TimeSt,_ID,Country,Province,City,Latitude,Longitude,POI_Number,POI_Latitude,POI_Longitude
00:02.7,4519477,CA,ON,Windsor,42.2957,-82.9599,2,45.521629,-73.566024
01:22.8,5384161,CA,ON,Toronto,43.6641,-79.399,2,45.521629,-73.566024
01:51.3,5389217,CA,AB,Calgary,51.0242,-114.1004,1,53.546167,-113.485734
01:51.9,4564996,CA,ON,Kingston,44.2585,-76.4897,2,45.521629,-73.566024
01:57.0,4572226,CA,ON,Milton,43.5148,-79.884,2,45.521629,-73.566024
01:59.2,5389910,CA,AB,Calgary,51.1387,-114.2015,1,53.546167,-113.485734
03:06.4,5402389,CA,ON,Windsor,42.2962,-83.018,2,45.521629,-73.566024
03:08.4,4589051,CA,ON,Thornhill,43.8395,-79.3831,2,45.521629,-73.566024
04:09.3,4600141,CA,ON,Toronto,43.6682,-79.4209,2,45.521629,-73.566024
04:22.5,5413290,CA,AB,Calgary,50.9505,-113.947,1,53.546167,-113.485734
05:57.1,4627611,CA,ON,Latchford,47.32525,-79.81152,2,45.521629,-73.566024
06:37.5,5433754,CA,ON,Etobicoke,43.637,-79.5282,2,45.521629,-73.566024
06:55.7,5435794,CA,AB,Lethbridge,49.6581,-112.7484,1,53.546167,-113.485734
06:56.1,4641214,CA,AB,Edmonton,53.44532,-113.53916,1,53.546167,-113.485734
07:11.9,4644625,CA,ON,North York,43.7346,-79.4447,2,45.521629,-73.566024
08:12.0,4659939,CA,AB,Olds,51.7834,-114.102,1,53.546167,-113.485734
09:06.8,4672719,CA,QC,Charlesbourg,46.8528,-71.2573,2,45.521629,-73.566024
10:31.2,4687595,CA,AB,Sherwood Park,53.5263,-113.287,1,53.546167,-113.485734
10:45.6,4690240,CA,ON,Milton,43.5152,-79.8802,2,45.521629,-73.566024
11:00.4,5472540,CA,ON,Mississauga,43.6046,-79.6729,2,45.521629,-73.566024
11:26.7,5481728,CA,ON,Barrie,44.3303,-79.7268,2,45.521629,-73.566024
12:30.2,4711400,CA,ON,Ottawa,45.4455,-75.6894,2,45.521629,-73.566024
12:46.0,5494399,CA,ON,Thornhill,43.8137,-79.4538,2,45.521629,-73.566024
13:12.9,5500649,CA,AB,Calgary,51.0433,-114.064,1,53.546167,-113.485734
13:35.4,5506151,CA,ON,Guelph,43.5776,-80.2201,2,45.521629,-73.566024
14:44.6,4742259,CA,BC,Abbotsford,49.05617,-122.38406,1,53.546167,-113.485734
16:38.3,4768359,CA,MB,Winnipeg,49.8735,-97.15035,1,53.546167,-113.485734
16:50.6,5538115,CA,ON,Ottawa,45.444,-75.693,2,45.521629,-73.566024
16:53.0,4772751,CA,ON,Brantford,43.1772,-80.248,2,45.521629,-73.566024
17:56.1,4790266,CA,AB,Calgary,50.915,-114.06,1,53.546167,-113.485734
18:25.5,4795984,CA,AB,Sherwood Park,53.5263,-113.287,1,53.546167,-113.485734
18:31.6,4797155,CA,ON,Brampton,43.6656,-79.747,2,45.521629,-73.566024
19:57.0,4810536,CA,AB,Calgary,51.0494,-113.9564,1,53.546167,-113.485734
20:05.2,5582481,CA,ON,Ajax,44.1828,-80.3996,2,45.521629,-73.566024
20:34.7,5586707,CA,BC,Salmon Arm,50.5328,-119.362,1,53.546167,-113.485734
21:03.9,4825876,CA,ON,Etobicoke,43.6879,-79.557,2,45.521629,-73.566024
21:13.5,4826780,CA,QC,Saint-Constant,45.3668,-73.5659,2,45.521629,-73.566024
21:22.2,5600600,CA,AB,Calgary,51.17371,-114.17368,1,53.546167,-113.485734
22:52.8,5612156,CA,ON,Pickering,43.809,-79.131,2,45.521629,-73.566024
23:15.5,4850238,CA,AB,Lethbridge,49.6836,-112.834,1,53.546167,-113.485734
25:17.6,4874259,CA,ON,Windsor,42.2949,-83.052,2,45.521629,-73.566024
25:33.4,4876218,CA,QC,Lasalle,45.4405,-73.6165,2,45.521629,-73.566024
27:13.6,4896965,CA,AB,Edmonton,53.54813,-113.59428,1,53.546167,-113.485734
28:27.9,4911668,CA,AB,Calgary,51.0196,-114.20029,1,53.546167,-113.485734
28:56.2,4915271,CA,AB,Spruce Grove,53.5533,-113.895,1,53.546167,-113.485734
29:45.1,4924719,CA,BC,Richmond,49.16527,-123.1267,1,53.546167,-113.485734
30:22.2,4932347,CA,ON,Lindsay,44.357,-78.7405,2,45.521629,-73.566024
31:13.0,4950944,CA,ON,Dundas,43.26435,-79.95395,2,45.521629,-73.566024
32:39.9,4974651,CA,ON,Richmond Hill,43.8939,-79.4375,2,45.521629,-73.566024
35:47.0,5028209,CA,AB,Edmonton,53.4487,-113.402,1,53.546167,-113.485734
37:42.5,5056201,CA,AB,Calgary,50.91646,-114.1249,1,53.546167,-113.485734
39:05.3,5075768,CA,AB,Edmonton,53.4564,-113.521,1,53.546167,-113.485734
39:12.6,5077578,CA,QC,Laval,45.5777,-73.8071,2,45.521629,-73.566024
41:22.3,5103981,CA,MB,Winnipeg,49.92424,-97.20566,1,53.546167,-113.485734
42:56.9,5128711,CA,AB,Stony Plain,53.5334,-114.0021,1,53.546167,-113.485734
44:44.8,5157791,CA,ON,Cambridge,43.3842,-80.2968,2,45.521629,-73.566024
45:51.6,5172899,CA,AB,Calgary,51.1229,-114.189,1,53.546167,-113.485734
46:41.5,5186417,CA,AB,Edmonton,53.4971,-113.63464,1,53.546167,-113.485734
